Data file S1. Salamander count data for harvest effect grids. Salamander counts by grid and sampling occasion at harvest effect grids for the most commonly encountered species (data are rarefied.). ,,,,,,,,,,,,,,,,
Unit,Grid,Trt,SlopeAzimuth,SlopeAspect,Year,Season,TrtPeriod,SamplePeriod,Check,Date,Precip,Temp,DWD,REBA,ZIZA,NOSL
1,1102A,Group,107,NE,2011,Spring,Post,8,3,110328,0,1.1,70.8,4,6,0
1,1102A,Group,107,NE,2011,Spring,Post,8,4,110412,0.23,12.2,70.8,2,1,1
1,1103A,Group,83,NE,2009,Spring,Post,4,1,90309,0,11.9,33.96,4,2,0
1,1103A,Group,83,NE,2009,Spring,Post,4,2,90424,0.25,12.2,33.96,1,6,0
1,1103A,Group,83,NE,2009,Spring,Post,4,3,90504,0.64,13.9,33.96,2,0,0
1,1103A,Group,83,NE,2009,Fall,Post,5,1,90912,0,18.6,33.96,0,0,0
1,1103A,Group,83,NE,2009,Fall,Post,5,2,90923,1.45,23.1,33.96,0,0,0
1,1103A,Group,83,NE,2009,Fall,Post,5,3,91013,0,10.8,33.96,2,6,0
1,1103A,Group,83,NE,2009,Fall,Post,5,4,91026,0.25,9.7,33.96,1,3,0
1,1103A,Group,83,NE,2009,Fall,Post,5,5,91106,0,4.7,33.96,1,5,0
1,1103A,Group,83,NE,2010,Spring,Post,6,1,100317,0,8.3,43.92,6,16,2
1,1103A,Group,83,NE,2010,Spring,Post,6,2,100402,0,12.8,43.92,5,2,1
1,1103A,Group,83,NE,2010,Spring,Post,6,3,100416,0,18.3,43.92,1,4,0
1,1103A,Group,83,NE,2010,Spring,Post,6,4,100430,0,13.9,43.92,0,3,0
1,1103A,Group,83,NE,2010,Fall,Post,7,1,100930,0,14.7,43.92,0,0,0
1,1103A,Group,83,NE,2010,Fall,Post,7,2,101012,0,18.6,43.92,2,0,0
1,1103A,Group,83,NE,2010,Fall,Post,7,3,101021,0.58,10,43.92,10,2,0
1,1103A,Group,83,NE,2010,Fall,Post,7,4,101108,0,4.4,43.92,3,1,0
1,1103A,Group,83,NE,2011,Spring,Post,8,1,110302,1.3,2.2,87.98,4,3,0
1,1103A,Group,83,NE,2011,Spring,Post,8,2,110314,0,3.3,87.98,8,4,0
1,1103A,Group,83,NE,2011,Spring,Post,8,3,110328,0,1.1,87.98,4,8,0
1,1103A,Group,83,NE,2011,Spring,Post,8,4,110412,0.23,12.2,87.98,2,2,1
1,1104A,Group,309,SW,2009,Spring,Post,4,1,90309,0,11.9,28.24,6,2,0
1,1104A,Group,309,SW,2009,Spring,Post,4,2,90424,0.25,12.2,28.24,4,2,1
1,1104A,Group,309,SW,2009,Spring,Post,4,3,90504,0.64,13.9,28.24,6,3,0
1,1104A,Group,309,SW,2009,Fall,Post,5,1,90912,0,18.6,28.24,0,0,0
1,1104A,Group,309,SW,2009,Fall,Post,5,2,90923,1.45,23.1,28.24,0,0,0
1,1104A,Group,309,SW,2009,Fall,Post,5,3,91013,0,10.8,28.24,8,6,0
1,1104A,Group,309,SW,2009,Fall,Post,5,4,91026,0.25,9.7,28.24,4,3,0
1,1104A,Group,309,SW,2009,Fall,Post,5,5,91106,0,4.7,28.24,2,4,0
1,1104A,Group,309,SW,2010,Spring,Post,6,1,100315,1.3,5.6,68.88,9,1,0
1,1104A,Group,309,SW,2010,Spring,Post,6,2,100402,0,12.8,68.88,3,3,0
1,1104A,Group,309,SW,2010,Spring,Post,6,3,100416,0,18.3,68.88,1,2,0
1,1104A,Group,309,SW,2010,Spring,Post,6,4,100430,0,13.9,68.88,1,1,1
1,1104A,Group,309,SW,2010,Fall,Post,7,1,100930,0,14.7,68.88,0,0,0
1,1104A,Group,309,SW,2010,Fall,Post,7,2,101012,0,18.6,68.88,3,0,1
1,1104A,Group,309,SW,2010,Fall,Post,7,3,101021,0.58,10,68.88,7,2,0
1,1104A,Group,309,SW,2010,Fall,Post,7,4,101108,0,4.4,68.88,6,2,0
1,1104A,Group,309,SW,2011,Spring,Post,8,1,110228,0,4.7,21.72,10,3,0
1,1104A,Group,309,SW,2011,Spring,Post,8,2,110314,0,3.3,21.72,14,7,0
1,1104A,Group,309,SW,2011,Spring,Post,8,3,110328,0,1.1,21.72,8,7,0
1,1104A,Group,309,SW,2011,Spring,Post,8,4,110412,0.23,12.2,21.72,14,4,0
1,1105A,Group,350,NE,2009,Spring,Post,4,1,90309,0,11.9,71.5,3,0,0
1,1105A,Group,350,NE,2009,Spring,Post,4,2,90423,0.56,8.6,71.5,8,10,0
1,1105A,Group,350,NE,2009,Spring,Post,4,3,90504,0.64,13.9,71.5,10,6,1
1,1105A,Group,350,NE,2009,Fall,Post,5,1,90912,0,18.6,71.5,0,0,0
1,1105A,Group,350,NE,2009,Fall,Post,5,2,90923,1.45,23.1,71.5,2,0,0
1,1105A,Group,350,NE,2009,Fall,Post,5,3,91013,0,10.8,71.5,5,9,0
1,1105A,Group,350,NE,2009,Fall,Post,5,4,91026,0.25,9.7,71.5,7,6,2
1,1105A,Group,350,NE,2009,Fall,Post,5,5,91106,0,4.7,71.5,0,3,0
1,1105A,Group,350,NE,2010,Spring,Post,6,1,100315,1.3,5.6,128.18,11,1,0
1,1105A,Group,350,NE,2010,Spring,Post,6,2,100401,0,13.6,128.18,8,10,0
1,1105A,Group,350,NE,2010,Spring,Post,6,3,100416,0,18.3,128.18,3,3,0
1,1105A,Group,350,NE,2010,Spring,Post,6,4,100430,0,13.9,128.18,4,2,0
1,1105A,Group,350,NE,2010,Fall,Post,7,1,100930,0,14.7,128.18,0,0,0
1,1105A,Group,350,NE,2010,Fall,Post,7,2,101012,0,18.6,128.18,3,0,1
1,1105A,Group,350,NE,2010,Fall,Post,7,3,101021,0.58,10,128.18,9,0,0
1,1105A,Group,350,NE,2010,Fall,Post,7,4,101108,0,4.4,128.18,2,0,0
1,1105A,Group,350,NE,2011,Spring,Post,8,1,110228,0,4.7,75.32,1,5,0
1,1105A,Group,350,NE,2011,Spring,Post,8,2,110314,0,3.3,75.32,4,9,0
1,1105A,Group,350,NE,2011,Spring,Post,8,3,110328,0,1.1,75.32,9,7,0
1,1105A,Group,350,NE,2011,Spring,Post,8,4,110412,0.23,12.2,75.32,6,9,0
1,1106A,Group,104,NE,2009,Spring,Post,4,1,90309,0,11.9,66.5,5,1,0
1,1106A,Group,104,NE,2009,Spring,Post,4,2,90423,0.56,8.6,66.5,6,1,0
1,1106A,Group,104,NE,2009,Spring,Post,4,3,90504,0.64,13.9,66.5,7,2,1
1,1106A,Group,104,NE,2009,Fall,Post,5,1,90912,0,18.6,66.5,0,0,0
1,1106A,Group,104,NE,2009,Fall,Post,5,2,90923,1.45,23.1,66.5,0,0,1
1,1106A,Group,104,NE,2009,Fall,Post,5,3,91013,0,10.8,66.5,10,5,0
1,1106A,Group,104,NE,2009,Fall,Post,5,4,91026,0.25,9.7,66.5,8,1,0
1,1106A,Group,104,NE,2009,Fall,Post,5,5,91106,0,4.7,66.5,5,2,0
1,1106A,Group,104,NE,2010,Spring,Post,6,1,100315,1.3,5.6,93.7,7,1,0
1,1106A,Group,104,NE,2010,Spring,Post,6,2,100401,0,13.6,93.7,3,2,0
1,1106A,Group,104,NE,2010,Spring,Post,6,3,100416,0,18.3,93.7,0,0,1
1,1106A,Group,104,NE,2010,Spring,Post,6,4,100430,0,13.9,93.7,0,0,1
1,1106A,Group,104,NE,2010,Fall,Post,7,1,100930,0,14.7,93.7,0,0,0
1,1106A,Group,104,NE,2010,Fall,Post,7,2,101012,0,18.6,93.7,0,0,0
1,1106A,Group,104,NE,2010,Fall,Post,7,3,101021,0.58,10,93.7,4,0,0
1,1106A,Group,104,NE,2010,Fall,Post,7,4,101108,0,4.4,93.7,4,0,0
1,1106A,Group,104,NE,2011,Spring,Post,8,1,110228,0,4.7,115.5,8,0,0
1,1106A,Group,104,NE,2011,Spring,Post,8,2,110314,0,3.3,115.5,14,6,0
1,1106A,Group,104,NE,2011,Spring,Post,8,3,110328,0,1.1,115.5,7,2,0
1,1106A,Group,104,NE,2011,Spring,Post,8,4,110412,0.23,12.2,115.5,2,0,1
1,1107A,Group,181,SW,2009,Spring,Post,4,1,90309,0,11.9,155.8,5,3,1
1,1107A,Group,181,SW,2009,Spring,Post,4,2,90423,0.56,8.6,155.8,3,0,0
1,1107A,Group,181,SW,2009,Spring,Post,4,3,90504,0.64,13.9,155.8,4,0,0
1,1107A,Group,181,SW,2009,Fall,Post,5,1,90912,0,18.6,155.8,0,0,1
1,1107A,Group,181,SW,2009,Fall,Post,5,2,90923,1.45,23.1,155.8,0,0,0
1,1107A,Group,181,SW,2009,Fall,Post,5,3,91013,0,10.8,155.8,5,0,0
1,1107A,Group,181,SW,2009,Fall,Post,5,4,91026,0.25,9.7,155.8,4,5,0
1,1107A,Group,181,SW,2009,Fall,Post,5,5,91106,0,4.7,155.8,4,4,0
1,1107A,Group,181,SW,2010,Spring,Post,6,1,100315,1.3,5.6,202.08,7,0,0
1,1107A,Group,181,SW,2010,Spring,Post,6,2,100402,0,12.8,202.08,3,1,0
1,1107A,Group,181,SW,2010,Spring,Post,6,3,100416,0,18.3,202.08,2,0,2
1,1107A,Group,181,SW,2010,Spring,Post,6,4,100430,0,13.9,202.08,1,0,0
1,1107A,Group,181,SW,2010,Fall,Post,7,1,100930,0,14.7,202.08,0,0,0
1,1107A,Group,181,SW,2010,Fall,Post,7,2,101012,0,18.6,202.08,0,0,0
1,1107A,Group,181,SW,2010,Fall,Post,7,3,101021,0.58,10,202.08,0,0,1
1,1107A,Group,181,SW,2010,Fall,Post,7,4,101108,0,4.4,202.08,3,0,0
1,1107A,Group,181,SW,2011,Spring,Post,8,1,110228,0,4.7,212.76,9,0,0
1,1107A,Group,181,SW,2011,Spring,Post,8,2,110314,0,3.3,212.76,12,2,0
1,1107A,Group,181,SW,2011,Spring,Post,8,3,110328,0,1.1,212.76,6,2,0
1,1107A,Group,181,SW,2011,Spring,Post,8,4,110412,0.23,12.2,212.76,8,0,2
1,1108A,Group,101,NE,2009,Spring,Post,4,1,90309,0,11.9,144.88,2,0,0
1,1108A,Group,101,NE,2009,Spring,Post,4,2,90424,0.25,12.2,144.88,4,4,2
1,1108A,Group,101,NE,2009,Spring,Post,4,3,90504,0.64,13.9,144.88,7,3,2
1,1108A,Group,101,NE,2009,Fall,Post,5,1,90912,0,18.6,144.88,0,0,0
1,1108A,Group,101,NE,2009,Fall,Post,5,2,90923,1.45,23.1,144.88,0,0,0
1,1108A,Group,101,NE,2009,Fall,Post,5,3,91013,0,10.8,144.88,10,5,1
1,1108A,Group,101,NE,2009,Fall,Post,5,4,91026,0.25,9.7,144.88,1,9,0
1,1108A,Group,101,NE,2009,Fall,Post,5,5,91106,0,4.7,144.88,1,6,0
1,1108A,Group,101,NE,2010,Spring,Post,6,1,100317,0,8.3,68.42,3,14,0
1,1108A,Group,101,NE,2010,Spring,Post,6,2,100402,0,12.8,68.42,3,4,0
1,1108A,Group,101,NE,2010,Spring,Post,6,3,100416,0,18.3,68.42,0,0,0
1,1108A,Group,101,NE,2010,Spring,Post,6,4,100430,0,13.9,68.42,1,0,1
1,1108A,Group,101,NE,2010,Fall,Post,7,1,100930,0,14.7,68.42,0,0,0
1,1108A,Group,101,NE,2010,Fall,Post,7,2,101012,0,18.6,68.42,1,0,0
1,1108A,Group,101,NE,2010,Fall,Post,7,3,101021,0.58,10,68.42,5,6,0
1,1108A,Group,101,NE,2010,Fall,Post,7,4,101108,0,4.4,68.42,4,3,0
1,1108A,Group,101,NE,2011,Spring,Post,8,1,110228,0,4.7,105.04,5,0,0
1,1108A,Group,101,NE,2011,Spring,Post,8,2,110314,0,3.3,105.04,6,8,0
1,1108A,Group,101,NE,2011,Spring,Post,8,3,110328,0,1.1,105.04,5,8,0
1,1108A,Group,101,NE,2011,Spring,Post,8,4,110412,0.23,12.2,105.04,0,4,1
2,1201A,Control,54,NE,2009,Fall,Post,5,1,90908,0.74,19.7,21.5,1,0,5
2,1201A,Control,54,NE,2009,Fall,Post,5,2,90922,0.84,23.3,21.5,4,0,3
2,1201A,Control,54,NE,2009,Fall,Post,5,3,91005,0,10.3,21.5,19,7,4
2,1201A,Control,54,NE,2009,Fall,Post,5,4,91019,0.08,3.6,21.5,2,6,1
2,1201A,Control,54,NE,2009,Fall,Post,5,5,91102,2.36,5.6,21.5,2,1,1
2,1201A,Control,54,NE,2010,Spring,Post,6,1,100315,1.3,5.6,21.5,4,3,0
2,1201A,Control,54,NE,2010,Spring,Post,6,2,100329,0.56,3.9,21.5,14,7,0
2,1201A,Control,54,NE,2010,Spring,Post,6,3,100412,0,14.2,21.5,9,10,1
2,1201A,Control,54,NE,2010,Spring,Post,6,4,100426,3.23,13.1,21.5,2,4,2
2,1201A,Control,54,NE,2010,Fall,Post,7,1,101006,0,8.6,21.5,14,16,9
2,1201A,Control,54,NE,2010,Fall,Post,7,2,101018,0,15.3,21.5,19,28,9
2,1201A,Control,54,NE,2010,Fall,Post,7,3,101025,0,20.3,21.5,30,24,4
2,1201A,Control,54,NE,2010,Fall,Post,7,4,101109,0,10,21.5,12,3,1
2,1201A,Control,54,NE,2011,Spring,Post,8,1,110301,1.3,1.1,3.08,2,0,0
2,1201A,Control,54,NE,2011,Spring,Post,8,2,110314,0,3.3,3.08,16,1,1
2,1201A,Control,54,NE,2011,Spring,Post,8,3,110406,5.49,6.7,3.08,9,6,2
2,1201A,Control,54,NE,2011,Spring,Post,8,4,110418,1.42,11.9,3.08,11,6,3
2,1202A,Control,220,SW,2009,Spring,Post,4,1,90305,0,-3.3,3.72,20,5,0
2,1202A,Control,220,SW,2009,Spring,Post,4,2,90423,0.56,8.6,3.72,14,7,0
2,1202A,Control,220,SW,2009,Spring,Post,4,3,90504,0.64,13.9,3.72,11,7,3
2,1202A,Control,220,SW,2009,Fall,Post,5,1,90908,0.74,19.7,3.72,0,0,0
2,1202A,Control,220,SW,2009,Fall,Post,5,2,90922,0.84,23.3,3.72,0,0,1
2,1202A,Control,220,SW,2009,Fall,Post,5,3,91005,0,10.3,3.72,21,1,1
2,1202A,Control,220,SW,2009,Fall,Post,5,4,91019,0.08,3.6,3.72,15,5,0
2,1202A,Control,220,SW,2009,Fall,Post,5,5,91102,2.36,5.6,3.72,6,2,1
2,1202A,Control,220,SW,2010,Spring,Post,6,1,100315,1.3,5.6,3.4,9,6,0
2,1202A,Control,220,SW,2010,Spring,Post,6,2,100329,0.56,3.9,3.4,8,3,1
2,1202A,Control,220,SW,2010,Spring,Post,6,3,100412,0,14.2,3.4,7,5,2
2,1202A,Control,220,SW,2010,Spring,Post,6,4,100426,3.23,13.1,3.4,4,1,3
2,1202A,Control,220,SW,2010,Fall,Post,7,1,100927,0,13.6,3.4,0,0,0
2,1202A,Control,220,SW,2010,Fall,Post,7,2,101018,0,15.3,3.4,3,0,0
2,1202A,Control,220,SW,2010,Fall,Post,7,3,101025,0,20.3,3.4,1,0,0
2,1202A,Control,220,SW,2010,Fall,Post,7,4,101109,0,10,3.4,9,1,0
2,1202A,Control,220,SW,2011,Spring,Post,8,1,110301,1.3,1.1,19.68,5,7,0
2,1202A,Control,220,SW,2011,Spring,Post,8,2,110314,0,3.3,19.68,17,7,1
2,1202A,Control,220,SW,2011,Spring,Post,8,3,110406,5.49,6.7,19.68,16,10,1
2,1202A,Control,220,SW,2011,Spring,Post,8,4,110418,1.42,11.9,19.68,7,5,2
2,1203A,Control,42,NE,2009,Fall,Post,5,1,90908,0.74,19.7,72.36,0,0,2
2,1203A,Control,42,NE,2009,Fall,Post,5,2,90922,0.84,23.3,72.36,5,0,1
2,1203A,Control,42,NE,2009,Fall,Post,5,3,91005,0,10.3,72.36,20,15,6
2,1203A,Control,42,NE,2009,Fall,Post,5,4,91019,0.08,3.6,72.36,11,3,0
2,1203A,Control,42,NE,2009,Fall,Post,5,5,91102,2.36,5.6,72.36,1,1,0
2,1203A,Control,42,NE,2010,Spring,Post,6,1,100315,1.3,5.6,72.36,9,1,0
2,1203A,Control,42,NE,2010,Spring,Post,6,2,100329,0.56,3.9,72.36,8,8,0
2,1203A,Control,42,NE,2010,Spring,Post,6,3,100412,0,14.2,72.36,8,20,0
2,1203A,Control,42,NE,2010,Spring,Post,6,4,100426,3.23,13.1,72.36,1,6,1
2,1203A,Control,42,NE,2010,Fall,Post,7,1,101006,0,8.6,72.36,12,3,3
2,1203A,Control,42,NE,2010,Fall,Post,7,2,101018,0,15.3,72.36,14,12,2
2,1203A,Control,42,NE,2010,Fall,Post,7,3,101025,0,20.3,72.36,28,3,3
2,1203A,Control,42,NE,2010,Fall,Post,7,4,101109,0,10,72.36,9,7,1
2,1203A,Control,42,NE,2011,Spring,Post,8,1,110301,1.3,1.1,52.08,2,0,1
2,1203A,Control,42,NE,2011,Spring,Post,8,2,110314,0,3.3,52.08,6,4,2
2,1203A,Control,42,NE,2011,Spring,Post,8,3,110406,5.49,6.7,52.08,10,5,1
2,1203A,Control,42,NE,2011,Spring,Post,8,4,110418,1.42,11.9,52.08,7,14,10
2,1204A,Control,180,SW,2009,Spring,Post,4,1,90305,0,-3.3,57.46,13,2,0
2,1204A,Control,180,SW,2009,Spring,Post,4,2,90423,0.56,8.6,57.46,5,2,0
2,1204A,Control,180,SW,2009,Spring,Post,4,3,90504,0.64,13.9,57.46,6,1,1
2,1204A,Control,180,SW,2009,Fall,Post,5,1,90908,0.74,19.7,57.46,0,0,0
2,1204A,Control,180,SW,2009,Fall,Post,5,2,90922,0.84,23.3,57.46,0,0,0
2,1204A,Control,180,SW,2009,Fall,Post,5,3,91007,0,12.8,57.46,17,0,1
2,1204A,Control,180,SW,2009,Fall,Post,5,4,91019,0.08,3.6,57.46,12,0,0
2,1204A,Control,180,SW,2009,Fall,Post,5,5,91102,2.36,5.6,57.46,3,0,0
2,1204A,Control,180,SW,2010,Spring,Post,6,1,100315,1.3,5.6,71.94,10,4,0
2,1204A,Control,180,SW,2010,Spring,Post,6,2,100329,0.56,3.9,71.94,4,1,0
2,1204A,Control,180,SW,2010,Spring,Post,6,3,100412,0,14.2,71.94,3,1,0
2,1204A,Control,180,SW,2010,Spring,Post,6,4,100426,3.23,13.1,71.94,0,0,2
2,1204A,Control,180,SW,2010,Fall,Post,7,1,101006,0,8.6,71.94,1,0,0
2,1204A,Control,180,SW,2010,Fall,Post,7,2,101018,0,15.3,71.94,9,1,0
2,1204A,Control,180,SW,2010,Fall,Post,7,3,101025,0,20.3,71.94,18,1,0
2,1204A,Control,180,SW,2010,Fall,Post,7,4,101109,0,10,71.94,30,5,0
2,1204A,Control,180,SW,2011,Spring,Post,8,1,110302,1.3,2.2,40.48,13,0,0
2,1204A,Control,180,SW,2011,Spring,Post,8,2,110314,0,3.3,40.48,24,2,0
2,1204A,Control,180,SW,2011,Spring,Post,8,3,110406,5.49,6.7,40.48,15,7,0
2,1204A,Control,180,SW,2011,Spring,Post,8,4,110420,5.03,13.9,40.48,4,5,0
2,1205A,Control,341,NE,2009,Fall,Post,5,1,90908,0.74,19.7,13.42,0,0,3
2,1205A,Control,341,NE,2009,Fall,Post,5,2,90922,0.84,23.3,13.42,0,0,1
2,1205A,Control,341,NE,2009,Fall,Post,5,3,91005,0,10.3,13.42,15,6,4
2,1205A,Control,341,NE,2009,Fall,Post,5,4,91019,0.08,3.6,13.42,12,7,2
2,1205A,Control,341,NE,2009,Fall,Post,5,5,91102,2.36,5.6,13.42,4,0,0
2,1205A,Control,341,NE,2010,Spring,Post,6,1,100315,1.3,5.6,13.42,2,1,0
2,1205A,Control,341,NE,2010,Spring,Post,6,2,100329,0.56,3.9,13.42,3,4,0
2,1205A,Control,341,NE,2010,Spring,Post,6,3,100412,0,14.2,13.42,8,10,3
2,1205A,Control,341,NE,2010,Spring,Post,6,4,100426,3.23,13.1,13.42,1,3,4
2,1205A,Control,341,NE,2010,Fall,Post,7,1,101006,0,8.6,13.42,13,3,1
2,1205A,Control,341,NE,2010,Fall,Post,7,2,101018,0,15.3,13.42,7,2,0
2,1205A,Control,341,NE,2010,Fall,Post,7,3,101025,0,20.3,13.42,15,4,1
2,1205A,Control,341,NE,2010,Fall,Post,7,4,101109,0,10,13.42,12,1,0
2,1205A,Control,341,NE,2011,Spring,Post,8,1,110302,1.3,2.2,17.54,4,2,0
2,1205A,Control,341,NE,2011,Spring,Post,8,2,110314,0,3.3,17.54,8,3,0
2,1205A,Control,341,NE,2011,Spring,Post,8,3,110406,5.49,6.7,17.54,10,0,0
2,1205A,Control,341,NE,2011,Spring,Post,8,4,110420,5.03,13.9,17.54,0,0,0
2,1206A,Control,7,NE,2009,Fall,Post,5,1,90908,0.74,19.7,32.44,1,0,1
2,1206A,Control,7,NE,2009,Fall,Post,5,2,90922,0.84,23.3,32.44,1,0,1
2,1206A,Control,7,NE,2009,Fall,Post,5,3,91007,0,12.8,32.44,17,5,1
2,1206A,Control,7,NE,2009,Fall,Post,5,4,91019,0.08,3.6,32.44,8,9,0
2,1206A,Control,7,NE,2009,Fall,Post,5,5,91102,2.36,5.6,32.44,1,1,0
2,1206A,Control,7,NE,2010,Spring,Post,6,1,100315,1.3,5.6,32.44,5,4,0
2,1206A,Control,7,NE,2010,Spring,Post,6,2,100329,0.56,3.9,32.44,7,7,1
2,1206A,Control,7,NE,2010,Spring,Post,6,3,100412,0,14.2,32.44,11,15,2
2,1206A,Control,7,NE,2010,Spring,Post,6,4,100426,3.23,13.1,32.44,1,7,3
2,1206A,Control,7,NE,2010,Fall,Post,7,1,101006,0,8.6,32.44,17,23,0
2,1206A,Control,7,NE,2010,Fall,Post,7,2,101018,0,15.3,32.44,20,35,1
2,1206A,Control,7,NE,2010,Fall,Post,7,3,101025,0,20.3,32.44,22,16,0
2,1206A,Control,7,NE,2010,Fall,Post,7,4,101109,0,10,32.44,12,11,0
2,1206A,Control,7,NE,2011,Spring,Post,8,1,110302,1.3,2.2,31.02,4,3,0
2,1206A,Control,7,NE,2011,Spring,Post,8,2,110314,0,3.3,31.02,12,5,1
2,1206A,Control,7,NE,2011,Spring,Post,8,3,110406,5.49,6.7,31.02,20,11,1
2,1206A,Control,7,NE,2011,Spring,Post,8,4,110420,5.03,13.9,31.02,13,10,4
2,1207A,Control,184,SW,2009,Fall,Post,5,1,90908,0.74,19.7,52.88,0,0,0
2,1207A,Control,184,SW,2009,Fall,Post,5,2,90922,0.84,23.3,52.88,0,0,0
2,1207A,Control,184,SW,2009,Fall,Post,5,3,91007,0,12.8,52.88,14,0,1
2,1207A,Control,184,SW,2009,Fall,Post,5,4,91019,0.08,3.6,52.88,7,1,0
2,1207A,Control,184,SW,2009,Fall,Post,5,5,91102,2.36,5.6,52.88,2,2,0
2,1207A,Control,184,SW,2010,Spring,Post,6,1,100315,1.3,5.6,52.88,4,1,1
2,1207A,Control,184,SW,2010,Spring,Post,6,2,100329,0.56,3.9,52.88,9,1,1
2,1207A,Control,184,SW,2010,Spring,Post,6,3,100412,0,14.2,52.88,8,2,1
2,1207A,Control,184,SW,2010,Spring,Post,6,4,100426,3.23,13.1,52.88,2,0,2
2,1207A,Control,184,SW,2010,Fall,Post,7,1,100927,0,13.6,52.88,2,0,0
2,1207A,Control,184,SW,2010,Fall,Post,7,2,101018,0,15.3,52.88,4,0,0
2,1207A,Control,184,SW,2010,Fall,Post,7,3,101025,0,20.3,52.88,5,1,0
2,1207A,Control,184,SW,2010,Fall,Post,7,4,101109,0,10,52.88,10,3,0
2,1207A,Control,184,SW,2011,Spring,Post,8,1,110301,1.3,1.1,53.9,5,3,0
2,1207A,Control,184,SW,2011,Spring,Post,8,2,110314,0,3.3,53.9,13,4,0
2,1207A,Control,184,SW,2011,Spring,Post,8,3,110406,5.49,6.7,53.9,8,2,1
2,1207A,Control,184,SW,2011,Spring,Post,8,4,110418,1.42,11.9,53.9,9,2,1
